book_id,title,authors,language_code,average_rating,ratings_count
2767052,"The Hunger Games (The Hunger Games, #1)",Suzanne Collins,eng,4.34,4780653
3,"Harry Potter and the Sorcerer's Stone (Harry Potter, #1)","J.K. Rowling, Mary GrandPré",eng,4.44,4602479
41865,"Twilight (Twilight, #1)",Stephenie Meyer,en-US,3.57,3866839
2657,To Kill a Mockingbird,Harper Lee,eng,4.25,3198671
4671,The Great Gatsby,F. Scott Fitzgerald,eng,3.89,2683664
11870085,The Fault in Our Stars,John Green,eng,4.26,2346404
5907,The Hobbit,J.R.R. Tolkien,en-US,4.25,2071616
5107,The Catcher in the Rye,J.D. Salinger,eng,3.79,2044241
960,"Angels & Demons  (Robert Langdon, #1)",Dan Brown,en-CA,3.85,2001311
1885,Pride and Prejudice,Jane Austen,eng,4.24,2035490
77203,The Kite Runner,Khaled Hosseini,eng,4.26,1813044
13335037,"Divergent (Divergent, #1)",Veronica Roth,eng,4.24,1903563
5470,1984,"George Orwell, Erich Fromm, Celâl Üster",eng,4.14,1956832
7613,Animal Farm,George Orwell,eng,3.87,1881700
48855,The Diary of a Young Girl,"Anne Frank, Eleanor Roosevelt, B.M. Mooyaart-Doubleday",eng,4.1,1972666
2429135,"The Girl with the Dragon Tattoo (Millennium, #1)","Stieg Larsson, Reg Keeland",eng,4.11,1808403
6148028,"Catching Fire (The Hunger Games, #2)",Suzanne Collins,eng,4.3,1831039
5,"Harry Potter and the Prisoner of Azkaban (Harry Potter, #3)","J.K. Rowling, Mary GrandPré, Rufus Beck",eng,4.53,1832823
34,"The Fellowship of the Ring (The Lord of the Rings, #1)",J.R.R. Tolkien,eng,4.34,1766803
7260188,"Mockingjay (The Hunger Games, #3)",Suzanne Collins,eng,4.03,1719760
2,"Harry Potter and the Order of the Phoenix (Harry Potter, #5)","J.K. Rowling, Mary GrandPré",eng,4.46,1735368
12232938,The Lovely Bones,Alice Sebold,eng,3.77,1605173
15881,"Harry Potter and the Chamber of Secrets (Harry Potter, #2)","J.K. Rowling, Mary GrandPré",eng,4.37,1779331
6,"Harry Potter and the Goblet of Fire (Harry Potter, #4)","J.K. Rowling, Mary GrandPré",eng,4.53,1753043
136251,"Harry Potter and the Deathly Hallows (Harry Potter, #7)","J.K. Rowling, Mary GrandPré",eng,4.61,1746574
